q4_mesh_array_1threads_90725_2584.so, 0.00124599 sec, 0.0012644 sec, 0.00130384 sec
q4_mesh_array_2threads_1570_2584.so, 0.111454 sec, 0.111525 sec, 0.11172 sec
q4_mesh_array_2threads_4446_1478.so, 0.00190441 sec, 0.00196699 sec, 0.00193098 sec
q4_mesh_array_2threads_4446_535.so, 0.0742774 sec, 0.0741233 sec, 0.0746575 sec
q4_mesh_array_2threads_535_1478.so, 0.136087 sec, 0.13651 sec, 0.136308 sec
q4_mesh_array_2threads_7608_3646.so, 0.00149949 sec, 0.00147266 sec, 0.00152353 sec
q4_mesh_array_2threads_90725_1570.so, 0.0344597 sec, 0.0346797 sec, 0.0344549 sec
q4_mesh_array_2threads_90725_2584.so, 0.00129686 sec, 0.00135956 sec, 0.0013612 sec
q4_mesh_array_4threads_1570_2584.so, 0.0861379 sec, 0.0860697 sec, 0.0872614 sec
q4_mesh_array_4threads_4446_1478.so, 0.00164665 sec, 0.00174037 sec, 0.00168129 sec
q4_mesh_array_4threads_4446_535.so, 0.0717187 sec, 0.0721272 sec, 0.074981 sec
q4_mesh_array_4threads_535_1478.so, 0.110254 sec, 0.110775 sec, 0.111157 sec
q4_mesh_array_4threads_7608_3646.so, 0.00143729 sec, 0.00142791 sec, 0.00136975 sec
q4_mesh_array_4threads_90725_1570.so, 0.034955 sec, 0.0346671 sec, 0.0347912 sec
q4_mesh_array_4threads_90725_2584.so, 0.00132628 sec, 0.00138175 sec, 0.00139939 sec
